comment,star
"Cực kì phế vật,xạc đc 60% hết cở trong khi giới thịu là 10000mah mà máy tôi chỉ có 5000mah",1
"Kb do số e thế nào chứ là
Học sinh cắt ruột ra để mua đc cục sạc dự phòng mà về lại sạc đc 30' hết điện sạc vào thì 3 tiếng ch đầy quá thất vọng và sót tiền",1
Đặt 2 sp pin dự phòng và cap sạc nhưng chỉ giao có mỗi pin dự phòng. Và tính tiền đủ 2 sp,1
"Chất lượng quá là tệ. Sạc đầy cho cục sạc dự phòng thì mất khoảng 12 tiếng. Đến khi lấy sạc dp qua sạc cho đth thì chưa tới 2,5h đã hết pin rồi. Biết là hàng rẻ nhưng cùng giá này đã có nhiều loại sạc có thể sạc đầy lần1, lần2 còn dùng được nữa. Còn đằng này sạc lần1 chưa đủ đầy pin, k còn gì để nói",1
"Bảo nạp từ 6-8 tiếng mà từ 19h tối hôm trước đến 15h25 chiều hôm sau vẫn như thế kia, dùng thì nhanh hết lúc mới về còn bị hở chỗ màn hình cơ, nhẹ lọc xọc, tối nay mà vẫn chưa đầy em để xuống 1*",1
Chất lượng sản phẩm k tốt xạc lâu đầy pin mà dùng được có tí,1
Sau một thời gian dùng thì cảm thấy sạc dự phòng quá tệ. Sạc cho sạc dự phòng thì rất lâu mà dùng thì chả đc bao nhiêu,1
Quá tệ sạc ko đc 2 tiếng hết ko bằng cục sạc dự phòng 7500mah của tôi nữa nó cùi thật sự mọi người đừng nên mua,1
"Sản phẩm ko dc như quảng cáo Pin chắc dc 5000, sạc thì chậm",1
"Như mng thấy,nút ko bấm đc,hỏng,sạc thì lỏng lẻo,đầu type C input lúc đc lúc ko,sạc nhanh hết pin mà lỏng lẻo?????lắm lúc còn tự nhiên sáng?ủa ai khiến z????lúc bật thì ko có,ko bật thì lại lên??",1
"Sạc rất tệ, chưa sạc đầy điện thoại đã hết pin. Rất thất vọng. Mọi người không nên mua",1
Pin có ghi thông số là hỗ trợ sạc nhanh nhưng ko hề có. Nhắn tin hỏi shop trc đặt hàng thì toàn là auto rep hệ thống.,1
Giao hàng nhanh nhưng pin 10k mà chắc không đến 10k chán quá,1
"Sạc từ chiều hôm trước đến ngày hôm sau vẫn chưa đầy, chán hẳn",1
Sản phẩm thì rất đepj như sạc thì lâu mà dùng thì siêu nhanh hết pin,1
Dây cáp đi kèm không cắm được vào cục sạc để sạc pin. Thất vọng shop,1
Sài dc một chút là hết sạc còn nóng máy nữa chứ chán ghê,1
Mua tai nghe i12 giao 12 chán shop,1
Nhìn thì đẹp rồi đó nhưng phải sài thử mới biết đc tốt hay k. Giờ sài thử mới biết sạc k tốt rất tệ cục sạc sài đc 1 lần hết pin rồi mà cắm dô đc 1 tí lại bị ngắt điện k sạc đc nữa rất dở k hài lòng,1
sbshs,1
Hàng ko rất tệ hư hỏng nhiều ko có giấy hướng giẫn luôn,1
Dánh giá mong nhận xu sản phẩm lỗi không hoạt động shop ra thủ tục rắc rối,1
"Sản Phẩm Về Bóc Hộp Cái Hộp Còn Mới Tinh
Không có nilon dán chống xước phần màn hiển thị
Mặt xước viền Xước
Sản Phẩm như kiểu đã dùng qua
Nhắn tin phản hồi chất lượng kém ...",1
"Giao thíu hàng, nt cho cơ hội mua card trả lại rồi mà vẫn ko lm. Ok rồi mất lun.",1
"cũng đẹp thật ạ chỉ là shoppp cho dây sạc nhầm r ạ, cho dây kiểu đấy thì lúc em sạc dùng kiểu gì ạ:)))",1
"Sạc nhẹ hều, sạc pin thì chậm. Phí hơn 100k ném đi k dùng đến lần thứ 2",1
Xạc k xạc được Hỗ trợ gửi thêm xạc không Không nên mua Chắc chạy tool lượt cmt 5 sao ảo z,1
"Hàng đểu Thoi tiet Khanh Hoa 14/4: Ngay nang, tu chieu mua dong vai noi, kha nang mua 50%, nhiet do 25-33oC, do am 72%. Vung bien: Co mua rao va dong vai noi. Tam nhin xa tren 10km. Gio dong bac cap 3-4",1
Mình đã nhận được hàng của shop nhưng cuc sac dư phòng không sử dụng được mình có nt riêng với shop yêu cầu đổi hàng khác cho mình nhưng shop cứ kêu mình gui lại hàng thì shop mới cho đổi. Nếu mình gửi đi hàng không gửi về mình mất tiền và hàng của mình luôn à. Thất vọng mọi người đừng mua của shop,1
Thật là lần này mua k ưng 1 tí nào .lần trước mua rất ok Sài sạc được lâu cầm chắc tay nên mua lần 2 .nhưng lần 2 nữa về .vỏ thì móp méo .cục xạo thì lỏng lẻo .cầm thì ọp ẹp .quá tệ,1
"Cáp sạc đi kèm k vừa
Thử bao nhiêu cái cáp sạc vẫn vậy
Không nên mua phí tiền",1
"Dùng như naod thì chưa biết, chứ đợi giao hàng lâu ghê T.T ....",1
Sạc ghẻ ae nên mua ở các cửa hàng điện máy giá cũng chỉ 130k 140k thôi,1
"Dây để sạc sạc dự phòng không cắm vừa lỗ để sạc! Vậy thì dùng sao sạc dự phòng này hả shop? Em thực sự khá bực vì hnay em mới dùng, đang định sạc thì thấy không vừa!",1
"Vừa bóc hàng ra đã thấy bị vỡ ngoài vỏ,một bên tai nghe không nghe được.shop trả lời tin nhắn chậm.do thủ tục đổi hàng rườm rà nên đành chấp nhận",1
Sản phẩm quá tồi pin không cố định long sòng sọc giới thiệu là 10000mah nhưng sạc đến 60% của đt 5000mah thì hết pin,1
"pin mình mua sạc toàn tự động ngắt khi chưa đầy, k dùng được, ruột bên trong lỏng lẻo lắc nghe tiếng, phản hồi mà k thấy shop giải quyết gì cả. mà mình mua đến tận 2 cái",1
"Sản phẩm kém chất lượng chất lượng k đúng như quảng cáo sạc dự phòng đề 10000mah nhưng thực tế chỉ có 7500, hàng nhận thì bụi bẩn, móp méo vỏ,,, mọi người k nên mua",1
"Đống hàng sai màu, mua màu đen đống hàng giao lại thành màu trắng",1
Sản phẩm sai với quảng cáo 10000 mah mà pin ip 6spl còn 30% sạc chưa đầy pin dự phòng đã hết rồi,1
"Sạc dự phòng có 6k quảng cáo 10k, chưa tính đến hiệu suất sạc sau khi sử dụng sẽ như thế nào. Treo đầu dê bán thịt chó à",1
Giao cục sạc mà hư mất cái cổng type C là sao cung không hiểu luôn quá chán,1
Thay bnhiu cái dây sạc mà cắm k vào điện chịu chịu…thế này hỏng quá…quá thất vọng,1
"Củ xạc made in china mà thiết kế chán quá
Chỗ vỏ dới màn hình ko khít còn lòi 1 rãnh nhìn cực chán",1
"Sạc lâu vô kinh khủng. Vấn đề shop k giai quyet cứ vòng vo do ĐT pin cao hay dây sạc, hay sạc k đúng cách các thứ.Nói chung mua gi cung dc. Đừng mua dây sạc. Cục sạc dự phòng la được. Mua hag shoppe thành viên vàng. Nhưng đây la lần đầu tiên đánh giá 1* và kg bao giờ quay lại shop này 1 lần nao nửa",1
Sạc dung lượng sạc 1 lần đc 40% đã hết pin òi quá chán,1
"Chưa sử dụng nên chưa biết chất lượng thế nào,đóng gói được,nhưng không thích thái độ của shipper",1
"Chất lượng sản phẩm không đúng như trên hình ảnh và thông tin mà cửa hàng đã công khai.
Pin sạc vào chỉ đến 75% không đạt mốc 100%
Pin sạc max chưa đến 1h, không hề có sự cải thiện
shop có hỗ trợ đổi trả chỉ là biện pháp trước mắt không khách hàng nào rảnh rổi để làm những công việc này.",1
Sạc dự phòng xài k dc. Bấm mãi sạc mãi vẫn k hiện số. Vì dịch phải đi làm mà mua hàng ntn thì rõ là chán,1
"Bị nứt và sử dụng dây sạc nhanh iPhone thì ko vào pin đc
Thật sự thất vọng quá",1
"Xạc thì lâu còn dùng thì siêu nhanh hết pin, với giá 125k các bạn đừng tiếc thêm ít tiền vào tgdd mà mua xạc còn lâu hơn nhiều, đóng gói thì ổn mà chất lượng thì quá kém, mọi người k nên mua hàng này nhé",1
Sử dụng pin sạc vào toàn tụt không thấy lên,1
"Giao hàng quá lâu, sạc cầm nặng tay, chưa xài chưa biết ntn. Hình ảnh mang tính chất nhận xu",1
"Shipper thái độ quá ạ, sáng điện hẹn chiều lấy mà đã thái độ rồi, người ta cũng có việc bận chứ có phải đặt hàng rồi k muốn lấy đâu, ra lấy còn hỏi ""tưởng không lấy luôn chứ""",1
Chất lượng quá tồi sạc chưa đk 1 lần điện thoại thì sạc dự phòng đã hết pin,1
Sạc khui ra thì mở lên nguồn. Sau khi sạc 1 lần thì không lên nguồn nữa. Sản phẩm bị lỗi,1
Dây sạc theo máy ko đúng đầu đã phải mua them dây sạc dể cắm nhưng ko vào rất thất vọng về sản phẩm,1
"Sản phẩm tệ, nếu k muốn nói là k dùng đc bật lên thì đc nhưng sạc thì k vào (dây sạc mình mua của baseus, đã thử cắm vào cục sạc khác và sạc ngon). Có gọi cho hotline nhưng k liên lạc đc, giống như bị lừa ấy. Mn đừng mua nhóo, phí tiền vch.",1
"Sp mua về bị lọc cọc ở trong như k chắc chắn
Sạc pin thì có tiếng rít lên và mùi khét. Trả lời đánh giá báo có người gọi để đổi hàng mà k thấy ai gọi cả",1
Hàng bịp,1
theo mình là kh nên mua ạ pin mình sạc đc 1 lúc thì sẽ tự ngắt bực lắm í,1
Hàng như rất đểu Khi dùng thì được khoảng 1 phút là lại không vào điện Ổ sạc lỏng Phải cắm mạnh Sạc 2 tiếng mà vẫn cứ 75% Nói chung sản phảm không ra gì,1
"Sản phẩm kém chất lượng mn đừng lên mua phí tiền,sạc vừa lâu vừa nhanh hết,tiền nài của ấy",1
"Sạc vào đt rất lâu, dung lượng không đúng chỉ đc tầm 1/2 quảng cáo. Cắm sạc thì cả đêm lên được mỗi tí pin Chất lượng sp quá kém",1
"Sạc rất châm chứa chỉ đc khoảng 6000 mah
Lừa đảo",1
"Đóng gói không cẩn thận
Sạc lâu vào
Ko ổn lắm",1
Không biết có phải số mk đen hay như nào mà cục sạc 10000 mà sạc đươc có 20% cho cái điện thoại 5000. Thất vọng thật sự,1
Chất lượng sạc cũng ổn. nhưng thái độ phục vụ tệ quá giao thiếu hàng mình có ib nhưng kh rep =(((((,1
Sạc k vào pin trong khi pin vẫn đầy,1
Sạc mãi cả nửa ngày cũng không nổi 75%. Hàng rởm hay gì?????,1
"Sạc tầu đểu, mua phí tiền, sạc ko lên nổi pin lại cong hay bị tự ngắt điện",1
Lỗi sạc k vô pin,1
Dùng được 4 hôm thì sạc vào rất chậm khoảng 2 ngày mới đầy pin,1
Như ccccccc,1
Sạc hư không thể dùng được luôn.,1
Điện thoại pin kh đến 2000mah mà sạc được có lần,1
Quá nhanh hết pin,1
không sạc được điện thoại iphone,1
"Sp đẹp lắm nma mình ko biết cách xem pin
Tuy nhiên shipper mất dạy quá, giao ko đúng địa chỉ mình để",1
Shop bán k có dây sạc kèm theo. Đánh giá 1 sao,1
"Mua hàng ở Shopee rất nhiều nhưng đây là lần đầu tiên đánh giá 1 sao. Sạc k vào pin,đúng là trải nghiệm rất tệ. Mọi người nên cân nhắc khi mua",1
Nhanh hên pin quá,1
"Sạc kém chất lượng ko kèm theo dây sạc
Sạc vào điện thoại rất nóng máy rất dễ bị nổ",1
Sp du lượng pin ko như quảng cáo,1
Mua lần thứ 2 thì cục sạc không sạc được,1
50% Sạc chưa gì đã hết,1
Chất lượng quá tệ,1
"Hình ảnh video chỉ mang tính chất nhận xu
Sạc màu đẹp nhưng shop cho dây sạc ko găm vào dc ạ",2
Chắc 1 cục này xạc đc 1 lần thôi,2
"Giao hàng nhanh,đóng gói không cẩn thận lắm
Sạc hơi lỏng lẻo,dây sạc bị đứt,hai đầu sạc khó cắm",2
khonggg có thẻ bảo hành đóng gói ko chắc chắn dùng nhanh hết pin lắm,2
"Mấy bạn đgia bên dưới đều tốt cơ mà mình sạc đt đc 20% là hết mịa pin. Xong quyết định sạc dự phòng cả đêm, xong sáng sạc đc mấy phần trăm xong cũng ngoẻo lun. Thua",2
"Hi mọi người. Việc học của mọi người trải qua có khó khăn không? Mình sinh năm 1999, năm mình thi đại học đậu được vào đại học khoa học xã hội nhân văn nhưng vì ba mình bị bệnh, mẹ mình làm ăn thua lỗ mình phải bỏ học đi làm trả nợ chi phí sinh hoạt cho gia đình. Sau vài năm trả hết nợ học thêm ng",2
"Sạc được 1 lần rưỡi lắc lắc lên có cục pin không chắc chắn, lần đầu tiên mua thấy phí tiền quá",2
"Thời gian giao hàng nhanh. Đóng gói cẩn thận. Pin sạc cực chậm, từ 11h đêm 7h sáng vẫn chưa đầy, cond chậm hơn cả sạc cũ. Các cổng nối thì quá chặt số với đầu nối cáp sạc. Nút bấm gần như liệt!?",2
babnậ,2
Giao hàng khá lâu. Nhắn tin cho shop thì nói chung chung. Chưa dùng spham nên chưa biết chất lượng ntn. Nhưng màu đẹp..,2
"ảnh mang tính chất lấy xu
còn hàng rất là hơi mùi cháy
mik mở ra còn bị xước cục sạc
còn nhanh hết pin
cắm dây sạc vào còn rất chặt ko rút ra đc",2
Nhanh hết pin,2
"Lỗi cổng type C không sử dụng được
Rất mong có phương án xử lí từ người bán hàng",2
Sạc rất lâu vô mình sạc 2 ngày hoen mới đc 100% mà mình xài đc tầm 2 lần sạc cho điện thoại là hết,2
"Chất lượng sản phẩm kém cắm pin mãi không đầy giao hàng nhanh, shop phục vụ tốt",2
Sản phẩm hơi móc méo,2
"Giao hàng khá nhanh, chỉ 2 ngày, đóng gói ổn, chắc chắn, tuy nhiên sao sạc lại là ổ type c để sạc vậy làm mình k sạc vào đc, cho thì cho cap thường",2
"30%pin đầu sạc đầy dc 100%ip7 nhưng 70% pin còn lại chỉ sạc đc 50%. đang sạc vào sạc dự phòng mà từ 8h sáng đến 10h tối mà vẫn chưa đầy vẫn nhấp nháy chua du 75%. kb là như vậy là tốt hay ko tốt ??
giao hàng nhanh.",2
"Sản phẩm dùng nhanh hết, cắm sạc của sản phẩm không sạc được của cho nó vì không phải chung chân sạc",2
"Mình dùng thì có vào pin
Nhưng k hiện pin chắc dùng được bài ba hôm thui
Giao hàng cũng nhanh
Nói chung là k hi vọng gì",2
"Sạc dự phòng yếu không lên pin điện thoại, sạc 1h điện thoại chưa dc 2% pin",2
Cổng sạc 1 đằng cho dây sạc 1 nẻo không hiểu nổi,2
"mua phai san pham loi buon ghe nma chac kp loi cua shop
rep tin nhan hoi lau
dc cai ship nhanh",2
"Nhắn tin thẳng cho đổi hàng shop không rep cho hoàn tiền cũng chẳng thấy nói gì
Đặt màu đen ship cho màu xanh:))))",2
"Hết hàng k báo khách mà tự ý gửi hàng
Có hoàn tiền nhưng cái quan trọng thì k nhận được, báo khách để đổi sp thì k thèm nói??",2
"Sạc đầy 100% cho sạc dự phòng, mà lấy cắm dô sạc đt thì 100 tụt nhanh quá",2
Sản phẩm tam đc .. 10000mah mà sạc đc 1 lần rưỡi à.. tiền nào của đó,2
Sạc đầy cục sạc dùng chx đc bao lâu thì hết,2
Chân sạc ko đúng.giờ mất thêm tiền mua dây sạc,2
"Pin thực chất chỉ 5000 hay cùng lắm 7500 nếu cái mình lỗi nhưng bên bán ghi 10000, sạc rất nhanh hết và đặc biệt như vid kia thì bên trong rất lủng lẳng không biết có phải bên trong mới là pin thật không chứ vỏ ngoài to nhưng sạc được rất ít",2
Cắm sạc k đc,2
"Ulatr nó tệ vl máy nào dòng ip xài đc kh chứ tôi là tôi bất cmn lực r cắm mà kh lên luôn chứ đừng nói là sạc 1 2 lần. Vậy đó mà cắm cho dòng androi hoặc các thiết bị linh tinh khác thì đc, nhma cũng chả lâu. Nchl đc cái đẹp và tiện thôi chứ mua thì ra shop mua đi cho chất lượng.",2
Sảm phẩm đẹp nhưng cầm lên tay ko đc nặng mà cọc cạch đổi lại sp khác shop rất nhiệt tình,2
"Hàng đẹp nhưng không đúng 10000mAh
Điện thoại 5000mAh sạc đúng 1 lần chưa full pin đã hết sạch",2
Dung lượng k được như shop quảng cáo chỉ khoảng 4000mp. Hình thức đẹp giao hàng nhanh,2
Sản phẩm kém chất lượng dung lượng pin chỉ khoảng 2000mah. Máy mình 3000mah sạc từ 0% lên 64% thì hết pin. Mà củ sạc dự phòng tụt từ 100%->0%( sau 1 tháng dùng thế là sạc 2 lần nên dung lượng khoảng 6000mah),2
"Lúc đầu về hình thức mọi thứ thấy ok nên cho 5*
Cũng cẩn thận sạc như hướng dẫn nhưng hôm nay lần sạc t5 mới để ý là pin đc tầm 6000mAh thôi nhé )))
Sạc đầy 1 máy 4000 xong sạc thêm máy 3400 thì đc 47%",2
"Pin bên trong không đc cố định lại
Có tiếng kêu rất rõ khi rung lắc
Không hài lòng",2
"Ổ cắm rất rít, sạc lên chậm. Shop nhiệt tình, vch ok. Nói chung tiền nào của nấy.",2
"Chấu cục sạc dự phòng không gắn dc. Buồn.
Mua về k gắn được. Xài sao ta.",2
10000 mà mới sạc 1 tí đã thấy hết r. Thôi thì đồ sale nên cungz đành.,2
"Shop giao hàg quá lâu, chất lượng chưa dùg nên chưa bít",2
Tiền nào của nấy Chất lượng sản phẩm cũng tạm 5 đến 6 tiếng vẫn chưa đầy Còn sử dụng pin có đúng là 10000 không thì để em trải nghiệm Hơi thất vọng 1 tí,2
Nhận đc hàng thì sản phẩm bị cong vênh ở dưới.,2
Mình mua sạc bị lỗi sạc dt samsung thì rất lâu vô sạc iphone thì không vô mà nt shop đổi trả hàng shop tl không đầu đuôi gì cả thậm chí k trả lời,2
Cục sạc đầy pin đt còn 4% sạc lên được 38% cục sạc hết pin chưa sd được nửa pin đt nửa,2
"Sạc ko tốt
Dễ chai pin
Ms sự dụng được 2 tuần đã chai",2
"Trước khi bình luận tui xin lổi trước sạc dự phòng quá mau hết pin tui sạc từ 9% lên 18% là cục sạc dự phòng hết luôn tuy cục sạc khá rẻ nhưng cũng phải trâu trâu 1 tý chứ haiz, dịch vụ chăm sóc khách hàng và trả lời câu hỏi đưa ra nhanh gói và giao khá nhanh nên cũng ok tui xin hết.",2
Cái sạc cũng ok nhưng đầu sạc vào của nó là loại dẹp mới mà mấy bố để cái cáp sạc samsung vô đấy ?:D?? Ủa thế là phải ra tiệm mua sạc hả ??:),2
sạc dùng đc 1 lần thậm chí chưa dùng đã hết pin là sao shop oi,2
Sản phẩm bị trày mặt đèn led,2
bề ngoài khá ổn nhưng sạc dt báo nguồn vô yếu chán,2
Không có dây sạc,2
"Tuy chx sử dụng hàng nhưng ,shiper quá thái độ với khách hàng yêu cầu là giao buổi sáng nhưng giao trái buổi còn thái độ vs khách ngta cx có việc bận",2
Hàng dùng được mà gửi sai dây ko phải dây tương thích với điện thoại,2
Hàng còn hơi lỗi xíu nhưng vẫn tốt,2
Sản phẩm được tầm 6000 mah,2
Shop giao nhầm màu làm ko để ý,2
Hàng giao nhanh nhưng hết bin cực kì nhanh,2
"Sp sạc cực kỳ chậm, và ít vào pin",2
"50 SUẤT HỌC THỬ ONLINE MIỄN PHÍ CÓ GV BẢN NGỮ
0 Phụ phí1 lớp 3-5 học viên
Đặc biệt phù hợp với người bắt đầu từ con số 0
Tham gia ngay:

“Đừng đứng im khi kẻ khác tiến về phía trước"" và tuyệt đối không nhường cơ hội tham gia lớp tiếng Anh khuyến học trong thời điểm",3
"Vẻ ngoài ko có gì để đánh giá nhưng chất lượng thật sự ngoài mong đợi cho 1 con sạc được rất nhiều người khen, sạc cực kỳ chậm,và nhanh ngốn pin khuyên mng không nên mua ạ",3
Giao hàng tạm ổn. Nhưng mình hơi thất vọng khi nhận được gói hàng cong vòng móp méo hết mức. Đồ điện tử mà ko có bọc chống sốc. Đóng gói quá sơ sài k biết có bị ảnh hưởng đến chất lượng xạc về sau hay k. Mình thấy nó khá nhẹ và lỏng lẻo. Mong shop lưu ý với những lần tiếp theo!,3
"Dễ xước
Nhỏ
Sạc lâu
Đóng gói ko kĩ",3
"Sạc đẹp giao nhanh, nhưng pin 10000mah đt mình 5000mah mà sạc chưa đầy đt nữa là sạc hết pin ròii, sạc chậm nữa",3
"Đóng gói cẩu thả
Hàng nhận rất k vừa ý k chắc chắn
Hàng rất èo ọp lắc nghe thấy tiếng kêu bên trong",3
"Nó không chắc chắn sao á, lắc lắc có cục gì bên trong. Nên chắc được 3 sao",3
"hàng đẹp nhưng sạc đủ 100% mà dùng đc có 1 lần cho viên pin 4500mha, pin ảo quá nhìu so với thông số 1000mha của sp",3
sạc đầy cục mà sạc 1 lần mà đã hết pin luôn rồi ==,3
"Ok nha, rẻ xinh, xịn đẹp, đáng đồng tiền không cần phải bàn nữa rồi",3
"Mình vừa nhận đc hàng bóc ra xem luôn, mẫu mã đúng hình, giao nhanh, nma k hiểu sao bị hở như này, bóp cho nó vào không đc, nhìn khó chịu thật sự ạ, mong shop kiểm tra hàng kĩ trc khi giao cho khách",3
"Hàng ko được tốt lắm,mình ko tin là cục pin này 10000mah,sạc vào thì lâu,mình test sạc cho điện thoại từ 0% thì sạc được 79% là hết,bù lại shop cũng nhiệt tình nên gỡ lại",3
"Xạc thì khá là ok, nhưng shop gửi cho mình cáp xạc k phù hợp, k dùng được mất công lại phải đi mua thêm cáp sạc khác",3
"Cục sạc xài rất tốt, lâu hết pin, đóng gói kĩ càng. Nhưng mà dây sạc không khớp, không sạc được.",3
Hàng cũng chưa ưng lắm Pin sạc không được nhiều chỉ được 1-2 lần sạc đầy 100% pin,3
"Sạc thì thấy chắc đc tầm 2 lần, chưa sạc lần 2 nên chưa rõ. Tạm đánh giá, không có vấn đề, nhưng dây sạc ngắn và k vào điện",3
Sạc pin okk nma cho cái dây sạc sam sung không sạc đc chân sạc của nó lại nokia:))),3
"Màu đẹp giao hàng nhanh, đầu xạc ko biết sao ko cắm vào được, bị lỗi",3
sản phẩm giống hình nhưng sạc pin vào chậm vl với nhanh hết nữa,3
"Sạc được khoảng hơn một lần, có thang đo để dễ kiểm soát điện của sạc. Dây chưa dùng nên chưa đánh giá được",3
Nói chung là hình thức đẹp mà pin sạc cũng vào còn về bên thì xem thời gian,3
Giao hàng đủ shop đóng gói khá kĩ sạc vô pin chậm mình sạc hơn 30' chỉ mới lên được 5% trăm pin mọi người nên cân nhắc trc khi mua nếu muốn sạc nhanh hơn,3
"Gói hàng sơ sài, chỉ cho vào hộp k bọc chống sốc gì, sạc dp mà bọc kiểu này thì bên đvvc ném chuyển hàng có mà vỡ hả shop",3
Tiền nào của đó thui à m.ng. Cục sạc 100% pin thì sạc đt đc tầm 2 lần là hết. Bên ngoài thì đẹp và chống trầy. Ngoài ra muốn sạc đầy cục pin thì phải sạc rất lâu.,3
"Ổ cắm sạc rất khó cắm vào, có hai cổng sạc nhưng chỉ sạc được một cổng, cổng kia cắm thử thì không ăn. Nói chung với giá này cũng không mong chờ gì nhiều.",3
Sạc đẫ về nhưng e cắm sạc vô đt thì k lên đc nè shop ơi hhuuuuhujju,3
đặt hàng mấy lần mí đóng hàng được 10000 nhưng là sạc nhanh nên khá nhanh hết pin,3
cái ổ cắm ra nó bị chật mỗi lần cắm vào phải đẩy mạnh lắm lunnnn,3
Màu đẹp NHƯNG cáp gắn vô cứng ngắc à cắm mạnh mới vô được. Cần lưu ý,3
"Giao hàng nhanh, đóng gói cẩn thận. Sạc điện vào cục sạc rất lâu mới đầy, mình để hơn 8 tiếng vẫn cứ 75%. Nhưng mà chỉ xài đc cỡ 2 3 lần iphone 6 đth mình bị chai pin rồi) là có dấu hiệu hết pin. Nhưng hàng sale thì mình cũng phải chịu thôi",3
Gói kì mà sp ok nhaIt only takes a seconds to sau i love u but it will take a lifetime to show how muchIt only takes a seconds to sau i love u but it will take a lifetime to show how muchIt only takes a seconds to sau i love u but it will take a lifetime to show how muchIt only takes a seconds to sa,3
"Màu xanh này đẹp thật, nhưng dây sạc ngắn cực luôn ý bất tiện thật, chỉ sạc được duy nhất một lần thôi ạ. Nchung là không okeeeeee cho lắm",3
"Giống hình nhưng xài mau hết pin, chỉ sử dụng được tối đa 1,5 lần",3
"Pin trâu bò ghê, dùng thích cực, hihiii yeuu",3
sạc dùng hơi chậm với shop dây sạc ngắn mùi hơi hắc một chút nhưng vì mẫu mã đẹp nên mình cũng ưng. mình đặt màu hồng về đúng màu nha chứ ko phải nhạt như trên ảnh thấy đâu.,3
Giao nhanh đóng gói chắt chắn nhưng có điều là khi sài sau mà nó nóng cái đầu ngay chỗ bin với nóng cái đt nó nóng cực kì luôn í muốn phỏng tay hk bt shop sử lí sao cho mik đi ạ với lại sạc đc có 1 lần bin là hết r .mong shop kiểm tra lại ạ,3
